ScanSite,BMD1,BMD2,adjs,Reference,Comments
2&3,9999,9999,1,"Lam YM, Chen X, Pearson O (1999). Intertaxonomic variability of bone density and the differential representation of bovid, cervid, and equid elements in the archaeological record. American Antiquity 64(2), 343-362.",No density values reported by Lam et al. 1999
AC1,0.64,0.64,1,"Lam YM, Chen X, Pearson O (1999). Intertaxonomic variability of bone density and the differential representation of bovid, cervid, and equid elements in the archaeological record. American Antiquity 64(2), 343-362.",
AS1,0.67,0.67,1,"Lam YM, Chen X, Pearson O (1999). Intertaxonomic variability of bone density and the differential representation of bovid, cervid, and equid elements in the archaeological record. American Antiquity 64(2), 343-362.",
AS2,0.77,0.77,1,"Lam YM, Chen X, Pearson O (1999). Intertaxonomic variability of bone density and the differential representation of bovid, cervid, and equid elements in the archaeological record. American Antiquity 64(2), 343-362.",
AS3,0.71,0.71,1,"Lam YM, Chen X, Pearson O (1999). Intertaxonomic variability of bone density and the differential representation of bovid, cervid, and equid elements in the archaeological record. American Antiquity 64(2), 343-362.",
AT1,0.55,0.55,1,"Lam YM, Chen X, Pearson O (1999). Intertaxonomic variability of bone density and the differential representation of bovid, cervid, and equid elements in the archaeological record. American Antiquity 64(2), 343-362.",
AT2,0.57,0.57,1,"Lam YM, Chen X, Pearson O (1999). Intertaxonomic variability of bone density and the differential representation of bovid, cervid, and equid elements in the archaeological record. American Antiquity 64(2), 343-362.",
AT3,0.66,0.66,1,"Lam YM, Chen X, Pearson O (1999). Intertaxonomic variability of bone density and the differential representation of bovid, cervid, and equid elements in the archaeological record. American Antiquity 64(2), 343-362.",
AX1,0.87,0.87,1,"Lam YM, Chen X, Pearson O (1999). Intertaxonomic variability of bone density and the differential representation of bovid, cervid, and equid elements in the archaeological record. American Antiquity 64(2), 343-362.",
AX2,0.41,0.41,1,"Lam YM, Chen X, Pearson O (1999). Intertaxonomic variability of bone density and the differential representation of bovid, cervid, and equid elements in the archaeological record. American Antiquity 64(2), 343-362.",
